zodis kiekis
2 aesthetics
2 another
2 assured
2 bed
2 before
2 believe
2 biennial
2 boy
2 but
2 calling
2 can
2 comfort
2 coming
2 day
2 deficient
2 dejection
2 described
2 destruction
2 directly
2 discovered
2 either
2 end
2 equally
2 esteem
2 exeter
2 expense
2 exposing
2 fact
2 failure
2 far
2 favourable
2 females
2 fire
2 full
2 half
2 hastily
2 heard
2 here
2 history
2 imprudence
2 inc
2 incommode
2 interested
2 its
2 jonesgriffith
2 journey
2 law
2 make
2 manners
2 me
2 memory
2 merits
2 met
2 more
2 nature
2 norland
2 offending
2 oh
2 one
2 our
2 own
2 parish
2 photography
2 political
2 provision
2 representing
2 same
2 securing
2 see
2 should
2 snug
2 soldiers
2 speaking
2 sportsmen
2 story
2 taking
2 ten
2 that
2 these
2 they
2 this
2 throughout
2 time
2 tolerably
2 too
2 two
2 uneasy
2 use
2 vietnam
2 warfare
2 whether
2 while
2 widow
3 acceptance
3 add
3 am
3 between
3 book
3 course
3 do
3 education
3 embedded
3 gay
3 ham
3 her
3 how
3 itself
3 joy
3 man
3 manor
3 mr
3 part
3 say
3 she
3 sir
3 unwilling
3 us
3 was
3 way
3 what
3 which
3 who
3 you
4 age
4 any
4 art
4 at
4 be
4 get
4 had
4 his
4 my
4 saw
4 why
4 yet
5 are
5 for
5 him
5 if
5 nor
5 on
5 stallabrass
5 we
5 with
6 now
6 shy
6 up
7 by
7 he
7 no
8 a
8 as
8 it
8 or
8 so
9 images
9 their
10 is
12 an
12 war
18 and
20 to
21 in
38 the
52 of
